"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"cklf",2.8342473985517e-15,1.04597629821095,0.54,0.025,1.13967922143162e-10,33.4969999608568,"M","cklf"
"sap30",2.90909106937768e-15,1.30561104677257,0.58,0.034,1.16977460990746e-10,33.4709357098108,"M","sap30"
"fgl2",2.95482617518677e-15,0.832209434991595,0.54,0.025,1.18816515330435e-10,33.4553365697467,"M","fgl2"
"dusp2",3.39740984588958e-15,1.97275073407279,0.46,0,1.36613247313066e-10,33.3157630636458,"M","dusp2"
"lyz",3.39740984588958e-15,1.68143720527499,0.46,0,1.36613247313066e-10,33.3157630636458,"M","lyz"
"znf292",3.39740984588958e-15,1.25025834755626,0.46,0,1.36613247313066e-10,33.3157630636458,"M","znf292"
"shtn1",3.39740984588958e-15,1.03535086520453,0.46,0,1.36613247313066e-10,33.3157630636458,"M","shtn1"
"c20orf27",3.39740984588958e-15,0.923739608049651,0.46,0,1.36613247313066e-10,33.3157630636458,"M","c20orf27"
"egr3",4.4353502144361e-15,1.45956924541407,0.48,0.008,1.7834986747269e-10,33.0491698162158,"M","egr3"
"pebp1",6.43105514072019e-15,1.13541648004321,0.62,0.051,2.585991582635e-10,32.6776377735885,"M","pebp1"
"midn",8.39332534482058e-15,1.25168262101097,0.5,0.017,3.3750400544058e-10,32.4113396067318,"M","midn"
"nampt",8.39332534482058e-15,1.12332080932317,0.5,0.017,3.3750400544058e-10,32.4113396067318,"M","nampt"
"rpl23",9.31027989981601e-15,-1.3692916472462,0.72,0.932,3.74375665051501e-10,32.3076572396466,"M","rpl23"
"ier3",9.63376330287981e-15,2.08693745922031,0.58,0.051,3.873832561721e-10,32.2735024559395,"M","ier3"
"rgcc",9.85542124705104e-15,1.42345878504848,0.48,0.008,3.96296343765169e-10,32.2507547107192,"M","rgcc"
"pgam1",1.0763017993576e-14,1.14047910151012,0.48,0.008,4.32791716539683e-10,32.1626603968306,"M","pgam1"
"xrcc5",1.0763017993576e-14,0.993309377522798,0.48,0.008,4.32791716539683e-10,32.1626603968306,"M","xrcc5"
"dnajb6",1.0906159349859e-14,1.05599888168192,0.6,0.059,4.38547573617179e-10,32.1494486873033,"M","dnajb6"
"ddx3x",1.1658999185725e-14,1.48567909654521,0.66,0.102,4.68820016257188e-10,32.0826980508004,"M","ddx3x"
"zfp36l1",1.28053903116025e-14,1.79986328562567,0.64,0.076,5.14917549819849e-10,31.9889101945365,"M","zfp36l1"
"cd163",1.61301134183472e-14,1.73942597798605,0.44,0,6.48607990665161e-10,31.7580884712827,"M","cd163"
"grasp",1.61301134183472e-14,1.6096965911468,0.44,0,6.48607990665161e-10,31.7580884712827,"M","grasp"
"ifi30",1.61301134183472e-14,1.32273972506445,0.44,0,6.48607990665161e-10,31.7580884712827,"M","ifi30"
"myeov2",1.61301134183472e-14,1.17324305992368,0.44,0,6.48607990665161e-10,31.7580884712827,"M","myeov2"
"siglec10",1.61301134183472e-14,1.07982484218041,0.44,0,6.48607990665161e-10,31.7580884712827,"M","siglec10"
"selk",1.61301134183472e-14,1.05960658048925,0.44,0,6.48607990665161e-10,31.7580884712827,"M","selk"
"fosl2",1.61301134183472e-14,1.0408745091115,0.44,0,6.48607990665161e-10,31.7580884712827,"M","fosl2"
"msr1",1.61301134183472e-14,1.0065523458396,0.44,0,6.48607990665161e-10,31.7580884712827,"M","msr1"
"c9orf16",1.61301134183472e-14,0.839520458525506,0.44,0,6.48607990665161e-10,31.7580884712827,"M","c9orf16"
"thumpd3-as1",1.61301134183472e-14,0.810456630827432,0.44,0,6.48607990665161e-10,31.7580884712827,"M","thumpd3-as1"
"hmha1",1.61301134183472e-14,0.790704719372406,0.44,0,6.48607990665161e-10,31.7580884712827,"M","hmha1"
"ilf3-as1",1.61301134183472e-14,0.735377483374592,0.44,0,6.48607990665161e-10,31.7580884712827,"M","ilf3-as1"
"hcst",1.86292724555864e-14,1.2163749309252,0.7,0.102,7.49101674711585e-10,31.6140422633632,"M","hcst"
"sat2",1.8825283822239e-14,0.863071568288566,0.5,0.017,7.56983487776052e-10,31.6035755444598,"M","sat2"
"ndufb4",1.99205921226323e-14,0.962947698613764,0.58,0.051,8.01026929843166e-10,31.5470224181643,"M","ndufb4"
"fus",2.48014757087857e-14,1.11717620989411,0.76,0.127,9.97292139725982e-10,31.3278732391235,"M","fus"
